UAI,libelle_nature,Nom_etablissement,Nombre d'élèves total ULIS,nombre_eleves_total,Statut_public_prive,Adresse_1,Adresse_2,Code_postal,Nom_commune,ULIS,position,coordX_origine,coordY_origine,epsg_origine,latitude,longitude
0330059K,COLLEGE,Collège Anatole France,"14,00","594,00",Public,28 chemin DES BARIES,,33410,Cadillac-sur-Garonne,1,"44.630848516963546, -0.3062434493441792",437829.9,6397906.3,EPSG:2154,44.630848516963546,-0.3062434493441792
0330062N,COLLEGE,Collège Canterane,"7,00","729,00",Public,44 rue Saint-Genès,,33104,Castelnau-de-Médoc,1,,,,,,
0330064R,COLLEGE,Collège Aliénor d'Aquitaine,"15,00","401,00",Public,325 rue Jean Monnet,,33350,Castillon-la-Bataille,1,"44.85113390318635, -0.05064821201151862",459032.0,6421540.2,EPSG:2154,44.85113390318635,-0.05064821201151862
0333213N,COLLEGE,Collège Marguerite Duras,"15,00","562,00",Public,13 avenue FRANCOIS MAURIAC,BP 240,33506,Libourne,1,"44.902582066380816, -0.23513279607733562",444701.7,6427829.7,EPSG:2154,44.902582066380816,-0.23513279607733562
0330106L,COLLEGE,Collège François Mitterrand,"14,00","438,00",Public,3 rue André Chénier,,33600,Pessac,1,"44.7919202102726, -0.6450723665147032",411806.1,6416960.9,EPSG:2154,44.7919202102726,-0.6450723665147032
0331664E,COLLEGE,Collège François Mauriac,"9,00","608,00",Public,131 avenue MONTAIGNE,,33160,Saint-Médard-en-Jalles,1,"44.89386339298644, -0.7120137729647729",407049.4,6428517.8,EPSG:2154,44.89386339298644,-0.7120137729647729
0331667H,COLLEGE,Collège Robert Barrière,"15,00","366,00",Public,158 avenue François Mitterrand,LE CLOSET,33540,Sauveterre-de-Guyenne,1,"44.69593100624841, -0.08559520471053007",455599.5,6404421.8,EPSG:2154,44.69593100624841,-0.08559520471053007
0332246M,COLLEGE,Collège Chambéry,"11,00","759,00",Public,138 route DE LEOGNAN,,33140,Villenave-d'Ornon,1,"44.755926314660364, -0.5847675127212141",416389.3,6412748.8,EPSG:2154,44.755926314660364,-0.5847675127212141
0331884U,COLLEGE,Collège Manon Cormier,"14,00","590,00",Public,15 rue DU 19 MARS 1962,,33530,Bassens,1,"44.90063818859695, -0.5089649718337196",423096.5,6428536.8,EPSG:2154,44.90063818859695,-0.5089649718337196
0331752A,COLLEGE,Collège Marcellin Berthelot,"15,00","571,00",Public,23 rue MARCELLIN BERTHELOT,,33130,Bègles,1,"44.80803893230587, -0.5669685273908109",418057.9,6418467.4,EPSG:2154,44.80803893230587,-0.5669685273908109
